id,organization_id,name,species,sex,estimated_birth_date,intake_date,intake_source,status,priority,action_needed,description,microchip_number,primary_photo_url,adoption_profile_url,internal_notes,current_foster_id,created_at,updated_at,birthdate_source,estimated_age_value,estimated_age_unit,estimated_age_as_of,breed_id,breed_text,is_mixed_breed,litter_id
af9c0078-d60d-4708-840f-2fc887062cd7,ba7403e4-d70b-4fcf-9b3e-5a1c0d821032,Pickle,Dog,Male,2024-07-15,2025-02-10,Transfer,fostered,normal,,"Shy at first, warms up quickly with patience.",,,,,,2025-02-10T14:38:13.978Z,2025-02-26T22:00:18.978Z,estimated_age,7,months,2025-02-10,79ad0cef-f114-4b98-b242-fe5373db4d1a,,false,
13a8aeb1-ed16-416e-b123-1c045c7b9ce6,ba7403e4-d70b-4fcf-9b3e-5a1c0d821032,Buddy,Cat,Female,2024-08-09,2026-01-31,Trapped,intake,normal,,"Orange tabby, loves laps and naps.",,,,,,2026-01-31T14:38:13.978Z,2026-02-11T19:32:15.978Z,estimated_age,18,months,2026-01-31,3e51b819-8acd-4187-a451-a92529406ed3,,false,
ba4b73d7-b1fe-436e-8b4b-19b250c9e717,ba7403e4-d70b-4fcf-9b3e-5a1c0d821032,Agnes,Dog,Male,2010-11-28,2025-07-24,Transfer,intake,normal,,Anxious in new environments; thrives on routine.,,,,,,2025-07-24T10:38:13.978Z,2025-08-05T18:43:26.978Z,estimated_birthdate,,,,3d80f4c9-8bb5-4de3-a4bf-671236105f38,,false,
21dd5e02-bca2-40e8-b59a-7d2f0cb4b54a,ba7403e4-d70b-4fcf-9b3e-5a1c0d821032,Hazel,Cat,Unknown,2024-12-06,2025-06-04,Owner surrender,adoptable,normal,,Loves other cats; would do best in a multi-cat home.,,,https://www.petfinder.com/cat/hazel-29880/,,,2025-06-04T12:38:13.978Z,2025-06-23T20:28:12.978Z,estimated_age,6,months,2025-06-04,d0e140ca-0809-47f2-811b-071f6315f1cd,,false,
9c8b963c-534c-42ab-b82b-b1501f500a93,ba7403e4-d70b-4fcf-9b3e-5a1c0d821032,Margarita,Dog,Female,2024-05-09,2025-10-01,Owner surrender,intake,normal,,"House-trained, crate-trained, knows basic commands.",,,,,,2025-10-01T10:38:13.978Z,2025-10-09T08:07:57.978Z,estimated_age,17,months,2025-10-01,bf4cd657-45c3-4266-93c9-2f9c294fce60,,false,
8bfc7ddc-d7be-4d11-ab81-adc2fdd0a1d6,ba7403e4-d70b-4fcf-9b3e-5a1c0d821032,Feta,Cat,Female,2010-08-17,2025-08-13,Bottle baby (orphan),adoptable,normal,,Senior cat looking for a quiet home.,,,https://www.petfinder.com/cat/feta-50221/,Litter buddy ID: see related animals.,,2025-08-13T11:38:13.978Z,2025-08-17T02:29:13.978Z,estimated_age,15,years,2025-08-13,,,false,
77b52545-230c-4a70-91b7-cbc832aa8471,ba7403e4-d70b-4fcf-9b3e-5a1c0d821032,Beans,Dog,Female,2026-01-02,2026-03-03,Stray,adopted,normal,,,,,,,,2026-03-03T07:38:13.978Z,2026-03-18T01:04:11.978Z,estimated_age,2,months,2026-03-03,,,false,
6e8019d2-0e5e-4ab3-9018-f7c0a9cb8cce,ba7403e4-d70b-4fcf-9b3e-5a1c0d821032,Patches,Cat,Male,2025-01-09,2025-06-08,Transfer,intake,normal,,"Black, friendly and playful.",907095876091625,,,,,2025-06-08T07:38:13.978Z,2025-06-12T06:16:29.978Z,estimated_age,5,months,2025-06-08,677c1b27-f593-4a96-b3b9-90cdad659f6c,,false,
4484dcef-af91-4f4f-bec0-8caf8d8bf7fb,ba7403e4-d70b-4fcf-9b3e-5a1c0d821032,Sunny,Cat,Male,2021-04-24,2025-11-23,Returned adoption,fostered,normal,,,,,,,,2025-11-23T14:38:13.978Z,2025-12-04T19:33:22.978Z,exact_birthdate,,,,85c832c2-86c3-4414-8f3e-d9fac115b6a8,,false,
f67c46a1-c5bd-462f-98e7-8b78127fe4ac,ba7403e4-d70b-4fcf-9b3e-5a1c0d821032,Dijon,Dog,Female,2024-08-19,2025-10-13,Stray,hold,urgent,,"Recovering from leg injury, will need follow-up vet care.",,,,History of skin allergies; document any flare-ups.,,2025-10-13T14:38:13.978Z,2025-10-27T11:27:46.978Z,estimated_age,14,months,2025-10-13,,,false,
dba0e8e3-5819-403d-ba47-42b8847c971b,ba7403e4-d70b-4fcf-9b3e-5a1c0d821032,Juno,Dog,Female,2014-03-05,2025-03-02,Returned adoption,intake,normal,,"Recovering from leg injury, will need follow-up vet care.",,,,,,2025-03-02T07:38:13.978Z,2025-03-02T14:07:24.978Z,estimated_age,11,years,2025-03-02,1da934a3-9d57-4e7e-8ac0-15b1ea3e1ead,,false,
34c98123-15c5-4ede-8a7e-f32c258dac34,ba7403e4-d70b-4fcf-9b3e-5a1c0d821032,Buster,Dog,Male,2019-07-16,2025-07-14,Returned adoption,intake,normal,,Selective with other dogs; would do best as the only pet.,913659886942943,,,,,2025-07-14T12:38:13.978Z,2025-07-15T06:16:12.978Z,estimated_age,6,years,2025-07-14,3d80f4c9-8bb5-4de3-a4bf-671236105f38,,false,
dc742ea4-8130-4a16-a2fe-3678829e7cac,ba7403e4-d70b-4fcf-9b3e-5a1c0d821032,Coco,Dog,Female,2020-12-15,2025-07-15,Trapped,adopted,normal,,Selective with other dogs; would do best as the only pet.,,,,,,2025-07-15T07:38:13.978Z,2025-07-23T00:43:26.978Z,estimated_birthdate,,,,c824de25-254a-4f30-851a-0cd80c5308c3,,false,
10e6c3a8-cf0d-468c-bb83-79739304b500,ba7403e4-d70b-4fcf-9b3e-5a1c0d821032,Coco,Dog,Male,2025-08-03,2025-08-27,Animal Control,fostered,needs_attention,,Great with kids and other dogs.,936725772379897,,,,,2025-08-27T10:38:13.978Z,2025-09-05T16:40:26.978Z,estimated_age,24,days,2025-08-27,0a6c67f6-58b4-4e61-9c35-ffd62860b990,,false,
7a02e90f-847c-4e8e-9cda-aafbfaf7cff5,ba7403e4-d70b-4fcf-9b3e-5a1c0d821032,Comet,Dog,Male,2024-03-06,2025-09-27,Returned adoption,adopted,normal,,,908992953309556,,,,,2025-09-27T08:38:13.978Z,2025-10-12T22:55:07.978Z,estimated_age,19,months,2025-09-27,f6647518-aefa-4f3e-b6e8-1fe3e3020f47,,false,
3d9e5fa2-f968-4abd-84af-e04197e67761,ba7403e4-d70b-4fcf-9b3e-5a1c0d821032,Wasabi,Cat,Female,2014-09-24,2025-09-21,Bottle baby (orphan),fostered,needs_attention,,"Feral when trapped, slowly socializing in foster.",,,,Skittish around tall men; pair with a calm female adopter.,,2025-09-21T09:38:13.978Z,2025-09-24T18:37:26.978Z,estimated_age,11,years,2025-09-21,,,false,
2eadb591-8ba1-45c5-800f-18e80008860e,ba7403e4-d70b-4fcf-9b3e-5a1c0d821032,Apollo,Cat,Female,2023-12-26,2025-03-20,Found - good Samaritan,deceased,normal,,Tortie with classic tortitude.,,,,,,2025-03-20T14:38:13.978Z,2025-03-29T04:46:09.978Z,estimated_age,15,months,2025-03-20,3e51b819-8acd-4187-a451-a92529406ed3,,false,
973122b5-bb48-4cf1-ae98-56aafae4b157,ba7403e4-d70b-4fcf-9b3e-5a1c0d821032,Parsley,Cat,Female,2016-01-07,2025-06-20,TNR clinic intake,hold,normal,,FIV+ — indoor-only home required.,,,,,,2025-06-20T14:38:13.978Z,2025-07-03T00:35:59.978Z,estimated_birthdate,,,,fa9f0a12-5eae-4925-91d9-a9581a53081b,,false,
4e836337-49f1-4050-825d-722d92e6a88a,ba7403e4-d70b-4fcf-9b3e-5a1c0d821032,Rosie,Dog,Male,2016-05-15,2026-05-13,TNR clinic intake,medical,critical,,Bonded pair — needs to be adopted with a sibling.,,,,,,2026-05-13T15:38:13.978Z,2026-05-19T14:45:12.978Z,estimated_age,10,years,2026-05-13,,,false,
470b75b3-22b5-4747-9e57-599d77d01533,ba7403e4-d70b-4fcf-9b3e-5a1c0d821032,Storm,Dog,Male,2026-01-31,2026-02-20,Stray,fostered,normal,,"High-energy, would do best with an active family.",,,,,,2026-02-20T10:38:13.978Z,2026-02-27T11:05:30.978Z,estimated_age,20,days,2026-02-20,4fc402b9-3069-4cb4-81db-61ea13053837,,true,
18888599-f986-4c86-a6e2-1639eb63b489,ba7403e4-d70b-4fcf-9b3e-5a1c0d821032,Lady Marmalade,Dog,Female,2025-05-20,2025-10-17,Stray,intake,normal,,"Sweet and goofy, loves belly rubs.",,,,,,2025-10-17T15:38:13.978Z,2025-10-29T19:48:32.978Z,estimated_age,5,months,2025-10-17,,Heeler mix,true,
0c1f56c4-8673-41ff-b970-59bf4a95431c,ba7403e4-d70b-4fcf-9b3e-5a1c0d821032,Rain,Cat,Male,2015-08-21,2025-08-18,Bottle baby (orphan),adopted,urgent,,"Tuxedo, dignified and reserved.",,,,Skittish around tall men; pair with a calm female adopter.,,2025-08-18T10:38:13.978Z,2025-09-08T15:57:27.978Z,estimated_age,10,years,2025-08-18,8c137ad9-abed-4b8a-8c57-87434cc9dcf9,,false,
0d627b66-04f6-443a-9f30-b0caf9dae33e,ba7403e4-d70b-4fcf-9b3e-5a1c0d821032,Max,Cat,Unknown,2022-02-12,2026-02-11,Found - good Samaritan,adoptable,normal,,"Tabby, very affectionate once trust is earned.",,,,,,2026-02-11T15:38:13.978Z,2026-02-21T01:39:22.978Z,estimated_age,4,years,2026-02-11,17399b44-8cad-4370-8ad0-497ffdeea46d,,false,
39865e13-46e6-4d8e-b408-cf0aed56f3f3,ba7403e4-d70b-4fcf-9b3e-5a1c0d821032,Ketchup,Cat,Male,2013-12-27,2024-12-24,Returned adoption,adopted,urgent,,Loves other cats; would do best in a multi-cat home.,936282326554413,,,,,2024-12-24T07:38:13.978Z,2025-01-07T00:09:00.978Z,estimated_age,11,years,2024-12-24,fa9f0a12-5eae-4925-91d9-a9581a53081b,,false,
323b9b9b-8e6d-475a-adb9-149fa6a6e0da,ba7403e4-d70b-4fcf-9b3e-5a1c0d821032,Hermes,Cat,Female,2018-05-21,2025-05-19,Transfer,fostered,normal,,"Black, friendly and playful.",,,,,,2025-05-19T14:38:13.978Z,2025-05-24T00:50:44.978Z,estimated_age,7,years,2025-05-19,17399b44-8cad-4370-8ad0-497ffdeea46d,,false,
7ecc58b9-5af5-4ff2-bd75-4b445e453507,ba7403e4-d70b-4fcf-9b3e-5a1c0d821032,Snow,Cat,Female,2010-12-22,2025-10-02,Found - good Samaritan,hold,normal,,Senior cat looking for a quiet home.,925038275836501,,,,,2025-10-02T15:38:13.978Z,2025-10-05T03:33:19.978Z,exact_birthdate,,,,,,false,
fb4c6969-4aad-4a30-a4ca-8ffddee79882,ba7403e4-d70b-4fcf-9b3e-5a1c0d821032,Pogo,Dog,Male,2011-12-17,2025-12-13,Stray,fostered,normal,,Senior — looking for a calm retirement home.,,,,,,2025-12-13T13:38:13.978Z,2025-12-28T01:11:31.978Z,estimated_age,14,years,2025-12-13,0c1b99bf-76d9-4b36-8a35-8b25ccc86c14,,false,
44d35d41-0fb9-40e4-bd40-9da246e4cba0,ba7403e4-d70b-4fcf-9b3e-5a1c0d821032,Pluto,Cat,Male,2019-12-24,2026-02-20,Surrender,intake,normal,,Senior cat looking for a quiet home.,,,,,,2026-02-20T15:38:13.978Z,2026-03-03T08:50:25.978Z,estimated_birthdate,,,,cc2503c9-4628-4f9e-a24e-cc61dc164e86,,false,
